,id,title,release_date,vote_average,vote_count
7044,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
7045,424,Schindler's List,1993-12-15,8.6,14078
7046,129,Spirited Away,2001-07-20,8.5,14314
7047,389,12 Angry Men,1957-04-10,8.5,7280
7048,372058,Your Name.,2016-08-26,8.5,9854
7049,496243,Parasite,2019-05-30,8.5,15751
7050,155,The Dark Knight,2008-07-14,8.5,29734
7051,497,The Green Mile,1999-12-10,8.5,15416
7052,680,Pulp Fiction,1994-09-10,8.5,25189
7053,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
7054,13,Forrest Gump,1994-06-23,8.5,24678
7055,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
7056,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
7057,769,GoodFellas,1990-09-12,8.5,11263
7058,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
7059,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
7060,238,The Godfather,1972-03-14,8.7,17965
7061,278,The Shawshank Redemption,1994-09-23,8.7,23805
7062,240,The Godfather Part II,1974-12-20,8.6,10843
7063,772071,Cuando Sea Joven,2022-09-14,8.5,236
7064,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
7065,424,Schindler's List,1993-12-15,8.6,14078
7066,129,Spirited Away,2001-07-20,8.5,14314
7067,389,12 Angry Men,1957-04-10,8.5,7280
7068,372058,Your Name.,2016-08-26,8.5,9854
7069,496243,Parasite,2019-05-30,8.5,15751
7070,155,The Dark Knight,2008-07-14,8.5,29734
7071,497,The Green Mile,1999-12-10,8.5,15416
7072,680,Pulp Fiction,1994-09-10,8.5,25189
7073,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
7074,13,Forrest Gump,1994-06-23,8.5,24678
7075,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
7076,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
7077,769,GoodFellas,1990-09-12,8.5,11263
7078,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
7079,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
7080,238,The Godfather,1972-03-14,8.7,17965
7081,278,The Shawshank Redemption,1994-09-23,8.7,23805
7082,240,The Godfather Part II,1974-12-20,8.6,10843
7083,772071,Cuando Sea Joven,2022-09-14,8.5,236
7084,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
7085,424,Schindler's List,1993-12-15,8.6,14078
7086,129,Spirited Away,2001-07-20,8.5,14314
7087,389,12 Angry Men,1957-04-10,8.5,7280
7088,372058,Your Name.,2016-08-26,8.5,9854
7089,496243,Parasite,2019-05-30,8.5,15751
7090,155,The Dark Knight,2008-07-14,8.5,29734
7091,497,The Green Mile,1999-12-10,8.5,15416
7092,680,Pulp Fiction,1994-09-10,8.5,25189
7093,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
7094,13,Forrest Gump,1994-06-23,8.5,24678
7095,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
7096,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
7097,769,GoodFellas,1990-09-12,8.5,11263
7098,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
7099,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
7100,238,The Godfather,1972-03-14,8.7,17965
7101,278,The Shawshank Redemption,1994-09-23,8.7,23805
7102,240,The Godfather Part II,1974-12-20,8.6,10843
7103,772071,Cuando Sea Joven,2022-09-14,8.5,236
7104,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
7105,424,Schindler's List,1993-12-15,8.6,14078
7106,129,Spirited Away,2001-07-20,8.5,14314
7107,389,12 Angry Men,1957-04-10,8.5,7280
7108,372058,Your Name.,2016-08-26,8.5,9854
7109,496243,Parasite,2019-05-30,8.5,15751
7110,155,The Dark Knight,2008-07-14,8.5,29734
7111,497,The Green Mile,1999-12-10,8.5,15416
7112,680,Pulp Fiction,1994-09-10,8.5,25189
7113,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
