,id,title,release_date,vote_average,vote_count
6681,278,The Shawshank Redemption,1994-09-23,8.7,23805
6682,240,The Godfather Part II,1974-12-20,8.6,10843
6683,772071,Cuando Sea Joven,2022-09-14,8.5,236
6684,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
6685,424,Schindler's List,1993-12-15,8.6,14078
6686,129,Spirited Away,2001-07-20,8.5,14314
6687,389,12 Angry Men,1957-04-10,8.5,7280
6688,372058,Your Name.,2016-08-26,8.5,9854
6689,496243,Parasite,2019-05-30,8.5,15751
6690,155,The Dark Knight,2008-07-14,8.5,29734
6691,497,The Green Mile,1999-12-10,8.5,15416
6692,680,Pulp Fiction,1994-09-10,8.5,25189
6693,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
6694,13,Forrest Gump,1994-06-23,8.5,24678
6695,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
6696,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
6697,769,GoodFellas,1990-09-12,8.5,11263
6698,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
6699,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
6700,238,The Godfather,1972-03-14,8.7,17965
6701,278,The Shawshank Redemption,1994-09-23,8.7,23805
6702,240,The Godfather Part II,1974-12-20,8.6,10843
6703,772071,Cuando Sea Joven,2022-09-14,8.5,236
6704,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
6705,424,Schindler's List,1993-12-15,8.6,14078
6706,129,Spirited Away,2001-07-20,8.5,14314
6707,389,12 Angry Men,1957-04-10,8.5,7280
6708,372058,Your Name.,2016-08-26,8.5,9854
6709,496243,Parasite,2019-05-30,8.5,15751
6710,155,The Dark Knight,2008-07-14,8.5,29734
6711,497,The Green Mile,1999-12-10,8.5,15416
6712,680,Pulp Fiction,1994-09-10,8.5,25189
6713,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
6714,13,Forrest Gump,1994-06-23,8.5,24678
6715,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
6716,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
6717,769,GoodFellas,1990-09-12,8.5,11263
6718,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
6719,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
6720,238,The Godfather,1972-03-14,8.7,17965
6721,278,The Shawshank Redemption,1994-09-23,8.7,23805
6722,240,The Godfather Part II,1974-12-20,8.6,10843
6723,772071,Cuando Sea Joven,2022-09-14,8.5,236
6724,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
6725,424,Schindler's List,1993-12-15,8.6,14078
6726,129,Spirited Away,2001-07-20,8.5,14314
6727,389,12 Angry Men,1957-04-10,8.5,7280
6728,372058,Your Name.,2016-08-26,8.5,9854
6729,496243,Parasite,2019-05-30,8.5,15751
6730,155,The Dark Knight,2008-07-14,8.5,29734
6731,497,The Green Mile,1999-12-10,8.5,15416
6732,680,Pulp Fiction,1994-09-10,8.5,25189
6733,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
6734,13,Forrest Gump,1994-06-23,8.5,24678
6735,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
6736,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
6737,769,GoodFellas,1990-09-12,8.5,11263
6738,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
6739,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
6740,238,The Godfather,1972-03-14,8.7,17965
6741,278,The Shawshank Redemption,1994-09-23,8.7,23805
6742,240,The Godfather Part II,1974-12-20,8.6,10843
6743,772071,Cuando Sea Joven,2022-09-14,8.5,236
6744,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
6745,424,Schindler's List,1993-12-15,8.6,14078
6746,129,Spirited Away,2001-07-20,8.5,14314
6747,389,12 Angry Men,1957-04-10,8.5,7280
6748,372058,Your Name.,2016-08-26,8.5,9854
6749,496243,Parasite,2019-05-30,8.5,15751
6750,155,The Dark Knight,2008-07-14,8.5,29734
6751,497,The Green Mile,1999-12-10,8.5,15416
6752,680,Pulp Fiction,1994-09-10,8.5,25189
6753,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
6754,13,Forrest Gump,1994-06-23,8.5,24678
6755,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
6756,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
6757,769,GoodFellas,1990-09-12,8.5,11263
6758,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
6759,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
6760,238,The Godfather,1972-03-14,8.7,17965
6761,278,The Shawshank Redemption,1994-09-23,8.7,23805
6762,240,The Godfather Part II,1974-12-20,8.6,10843
6763,772071,Cuando Sea Joven,2022-09-14,8.5,236
6764,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
6765,424,Schindler's List,1993-12-15,8.6,14078
6766,129,Spirited Away,2001-07-20,8.5,14314
6767,389,12 Angry Men,1957-04-10,8.5,7280
6768,372058,Your Name.,2016-08-26,8.5,9854
6769,496243,Parasite,2019-05-30,8.5,15751
6770,155,The Dark Knight,2008-07-14,8.5,29734
6771,497,The Green Mile,1999-12-10,8.5,15416
6772,680,Pulp Fiction,1994-09-10,8.5,25189
6773,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
6774,13,Forrest Gump,1994-06-23,8.5,24678
